"","HomePlanet","CryoSleep","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Cabin1","Cabin2","Cabin3","PassengerId","Transported","Name"
"8694","Earth","True","TRAPPIST-1e",27,"False",0,0,0,0,0,"G",3,"S","0013_01",NA,"Carsoning"
"8695","Earth","False","TRAPPIST-1e",19,"False",0,9,0,2823,0,"F",4,"S","0018_01",NA,"Peckers"
"8696","Europa","True","55 Cancri e",31,"False",0,0,0,0,0,"C",0,"S","0019_01",NA,"Unhearfus"
"8697","Europa","False","TRAPPIST-1e",38,"False",0,6652,0,181,585,"C",1,"S","0021_01",NA,"Caltilter"
"8698","Earth","False","TRAPPIST-1e",20,"False",10,0,635,0,0,"F",5,"S","0023_01",NA,"Harperez"
"8699","Earth","False","TRAPPIST-1e",31,"False",0,1615,263,113,60,"F",7,"P","0027_01",NA,"Ricks"
"8700","Europa","True","55 Cancri e",21,"False",0,-1.26027543956297e-11,0,0,0,"B",2,"P","0029_01",NA,"Ainserfle"
"8701","Europa","True","TRAPPIST-1e",20,"False",0,0,0,0,0,"D",0,"S","0032_01",NA,"Pringry"
"8702","Europa","True","55 Cancri e",23,"False",0,0,0,0,0,"D",0,"S","0032_02",NA,"Pringry"
"8703","Earth","False","55 Cancri e",24,"False",0,639,0,0,0,"F",7,"S","0033_01",NA,"Delazarson"
"8704","Earth","False","TRAPPIST-1e",19,"False",339,3,136,237,0,"F",9,"S","0037_01",NA,"Rickson"
"8705","Europa","False","TRAPPIST-1e",45,"False",932,74,325.676666666667,7,1010,"D",2,"P","0040_01",NA,"Pinoffent"
"8706","Europa","False","TRAPPIST-1e",44,"False",0,1561,0,14,224,"D",2,"P","0040_02",NA,"Pinoffent"
"8707","Mars","True","TRAPPIST-1e",46,"False",0,0,0,0,0,"E",0,"P","0042_01",NA,"Frité"
"8708","Earth","False","TRAPPIST-1e",21,"False",0,0,0,1687,92,"G",4,"P","0046_01",NA,"Powery"
"8709","Earth","False","TRAPPIST-1e",27,"False",0,0,0,903,111.498639612255,"F",11,"P","0046_02",NA,"Powery"
"8710","Earth","False","TRAPPIST-1e",20,"False",2,12,253,457,690,"F",11,"P","0046_03",NA,"Powery"
"8711","Europa","True","TRAPPIST-1e",44,"False",0,0,0,0,0,"B",0,"S","0047_01",NA,"Prucerod"
"8712","Europa","False","TRAPPIST-1e",29,"False",0,7708,243,569,343,"C",178.644240419115,"S","0047_02",NA,"Prucerod"
"8713","Europa","False","TRAPPIST-1e",40,"False",26,1925,8,3144,63,"B",0,"S","0047_03",NA,NA
"8714","Earth","False","TRAPPIST-1e",30,"False",0,878,26,3,0,"G",5,"S","0048_01",NA,"Deckerry"
"8715","Earth","False","TRAPPIST-1e",14,"False",240.50831495273,0,0,1609,0,"E",1,"P","0049_01",NA,"Flynney"
"8716","Europa","True","55 Cancri e",31,"False",0,0,0,0,0,"B",4,"P","0054_01",NA,"Viouster"
"8717","Europa","False","55 Cancri e",27,"False",0,6977,0,4,1235,"B",4,"P","0054_02",NA,"Viouster"
"8718","Europa","False","55 Cancri e",66,"False",39,6452,0,1409,155,"B",4,"P","0054_03",NA,"Viouster"
"8719","Earth","False","TRAPPIST-1e",24,"False",1784,8,18,18,0,"G",5,"P","0055_01",NA,"Frederry"
"8720","Europa","False","55 Cancri e",19,"False",293,3495,5273,118,422,"C",1,"P","0057_01",NA,"Windend"
"8721","Earth","True","TRAPPIST-1e",36,"False",0,0,0,0,0,"E",2,"P","0059_01",NA,"Carvis"
"8722","Earth","False","TRAPPIST-1e",21,"False",0,619,12,3,0,"F",12,"P","0060_01",NA,"Ashipeck"
"8723","Earth","True","55 Cancri e",18,"False",0,0,0,0,0,"G",8,"S","0063_01",NA,"Daughessey"
"8724","Earth","True","TRAPPIST-1e",26,"False",0,0,0,0,0,"G",9,"S","0065_01",NA,"Rushorney"
"8725","Earth","False","TRAPPIST-1e",19,"False",598,0,30,0,0,"G",11,"S","0075_01",NA,"Jimes"
"8726","Earth","True","TRAPPIST-1e",48,"False",0,0,0,0,0,"G",12,"S","0079_01",NA,"Sullones"
