"","HomePlanet","CryoSleep","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Cabin1","Cabin2","Cabin3","PassengerId","Transported","Name"
"1","Europa","False","TRAPPIST-1e",39,"False",0,0,0,0,0,"B",0,"P","0001_01","False","Ofracculy"
"2","Earth","False","TRAPPIST-1e",24,"False",109,9,25,549,44,"F",0,"S","0002_01","True","Vines"
"3","Europa","False","TRAPPIST-1e",58,"True",43,3576,0,6715,49,"A",0,"S","0003_01","False","Susent"
"4","Europa","False","TRAPPIST-1e",33,"False",0,1283,371,3329,193,"A",0,"S","0003_02","False","Susent"
"5","Earth","False","TRAPPIST-1e",16,"False",303,70,151,565,2,"F",1,"S","0004_01","True","Santantines"
"6","Earth","False","PSO J318.5-22",44,"False",0,483,0,291,0,"F",0,"P","0005_01","True","Hinetthews"
"7","Earth","False","TRAPPIST-1e",26,"False",42,1539,3,0,0,"F",2,"S","0006_01","True","Jacostaffey"
"8","Earth","True","TRAPPIST-1e",28,"False",0,0,0,0,0.982460629916949,"G",0,"S","0006_02","True","Jacostaffey"
"9","Earth","False","TRAPPIST-1e",35,"False",0,785,17,216,0,"F",3,"S","0007_01","True","Beston"
"10","Europa","True","55 Cancri e",14,"False",0,0,0,0,0,"B",1,"P","0008_01","True","Flatic"
"11","Europa","True","TRAPPIST-1e",34,"False",0,0,0.173199999995139,0,0,"B",1,"P","0008_02","True","Flatic"
"12","Europa","False","55 Cancri e",45,"False",39,7295,589,110,124,"B",1,"P","0008_03","True","Flatic"
"13","Mars","False","TRAPPIST-1e",32,"False",73,0,1123,0,113,"F",1,"P","0009_01","True","Barne"
"14","Earth","False","TRAPPIST-1e",48,"False",719,1,65,0,24,"G",1,"S","0010_01","False","Baketton"
"15","Earth","False","TRAPPIST-1e",28,"False",8,974,12,2,7,"F",2,"P","0011_01","True","Bertsontry"
"16","Earth","False","TRAPPIST-1e",31,"False",32,0,876,0,0,"G",876.905738733749,"S","0012_01","False","Pooles"
"17","Mars","False","55 Cancri e",27,"False",1286,122,776.195742728592,0,0,"F",3,"P","0014_01","False","Eccle"
"18","Earth","False","55 Cancri e",24,"False",0,1,0,0,637,"F",4,"P","0015_01","False","Hughriend"
"19","Mars","True","TRAPPIST-1e",45,"False",0,0,0,0,0,"F",5,"P","0016_01","True","Upead"
"20","Earth","False","TRAPPIST-1e",0,"False",0,0,0,0,0,"G",0,"P","0017_01","True","Brighttt"
"21","Earth","False","55 Cancri e",14,"False",412,0,1,0,679,"F",6,"P","0017_02","False","Brighttt"
"22","Earth","True","TRAPPIST-1e",1,"False",0,0,0,0,0,"E",0,"S","0020_01","False","Brantuarez"
"23","Earth","True","55 Cancri e",49,"False",0,0,0,0,0,"E",0,"S","0020_02","False","Brantuarez"
"24","Earth","True","55 Cancri e",29,"False",0,0,17.4084702720354,0,0,"E",0,"S","0020_03","False","Mcfaddennon"
"25","Earth","False","TRAPPIST-1e",10,"False",0,0,0,0,0,"E",0,"S","0020_04","True","Jacostanley"
"26","Earth","True","PSO J318.5-22",1,"False",9.81933333333239,0,0,0,0,"E",0,"S","0020_05","False","Brantuarez"
"27","Earth","False","TRAPPIST-1e",7,"False",0,0,0,0,0,"E",0,"S","0020_06","False","Mcfaddennon"
"28","Mars","False","TRAPPIST-1e",21,"False",980,2,69,0,0,"D",0,"P","0022_01","False",NA
"29","Europa","True","TRAPPIST-1e",62,"False",0,0,59.5199999999958,0,0,"C",2,"S","0024_01","True","Fullided"
"30","Earth","False","TRAPPIST-1e",15,"False",0,225,0,998,0,"F",6,"S","0025_01","False","Brookenson"
"31","Europa","False","55 Cancri e",34,"False",22,6073,0,1438,328,"C",0,"P","0026_01","False","Unconary"
"32","Mars","False","TRAPPIST-1e",43,"False",1125,0,136,48,0,"F",8,"P","0028_01","False","Mare"
"33","Earth","False","TRAPPIST-1e",32,"False",0,850,81,437,453,"G",4,"S","0030_01","False","Morsentley"
"34","Mars","False","TRAPPIST-1e",47,"False",214,0,1411,0,1229,"F",9,"P","0031_01","True","Datie"
"35","Mars","False","TRAPPIST-1e",2,"False",0,0,0,0,0,"F",9,"P","0031_02","True","Datie"
"36","Mars","False","TRAPPIST-1e",20,"False",486.436885529697,0,1750,990,0,"F",9,"P","0031_03","True","Datie"
"37","Europa","True","55 Cancri e",28,"False",0,0,0,0,0,"D",1,"S","0034_01","True","Oingwhedly"
"38","Mars","False","55 Cancri e",23,"False",784,964,0,951,0,"D",1,"P","0035_01","False","Butte"
"39","Earth","False","55 Cancri e",15,"False",0,492,48,20,401,"F",8,"S","0036_01","False","Leodger"
"40","Earth","False","55 Cancri e",20,"False",554,195,0,2606,0,"F",10,"S","0038_01","False","Wheelez"
"41","Earth","True","55 Cancri e",30,"False",0,0,-4.83822759633767e-12,0,0,"G",1,"P","0039_01","False","Batthewitt"
"42","Earth","True","TRAPPIST-1e",17,"False",0,0,0,0,0,"G",2,"P","0041_01","True","Moodsey"
"43","Europa","False","TRAPPIST-1e",45,"False",0,164,45,2511,855,"B",3,"P","0043_01","False","Cylistrand"
"44","Earth","True","TRAPPIST-1e",55,"False",0,0,0,0,0,"G",3,"P","0044_01","False","Coopelandez"
"45","Earth","True","55 Cancri e",4,"False",0,0,0,0,0,"G",3,"P","0044_02","True","Coopelandez"
"46","Earth","True","PSO J318.5-22",21,"False",0,0,0,0,0,"G",3,"P","0044_03","True","Coopelandez"
"47","Mars","False","TRAPPIST-1e",21,"False",970,0,180,0,64,"F",10,"P","0045_01","False","Chmad"
"48","Mars","True","TRAPPIST-1e",19,"False",0,0,0,0,0,"F",10,"P","0045_02","True","Chmad"
"49","Earth","False","55 Cancri e",35,"False",790,0,0,445.244914992699,0,"E",1,"S","0050_01","False","Lancis"
"50","Earth","False","TRAPPIST-1e",56,"False",0,112,0,1379,127,"E",2,"S","0051_01","False","Johnshines"
"51","Earth","False","TRAPPIST-1e",33.189211433127,"False",4,0,2,4683,0,"G",6,"S","0052_01","False","Hubbarton"
"52","Earth","False","TRAPPIST-1e",25,"False",0,0,1938,0,1,"F",11,"S","0053_01","True","Hickerson"
"53","Europa","False","TRAPPIST-1e",2,"False",0,0,0,0,0,"A",1,"S","0056_01","True","Tractive"
"54","Europa","True","TRAPPIST-1e",38,"False",0,0,0,0,0,"A",1,"S","0056_02","True","Tractive"
"55","Europa","False","TRAPPIST-1e",27,"False",279,605,3374,286,3,"A",1,"S","0056_03","True","Tractive"
"56","Earth","True","PSO J318.5-22",36,"False",0,0,0,0,0,"G",7,"S","0058_01","False","Ayalazquez"
"57","Earth","False","TRAPPIST-1e",22,"False",45,1096,148,1377,1,"F",12,"S","0061_01","False","Salez"
"58","Earth","False","TRAPPIST-1e",62,"False",0,592,0,17,25,"F",13,"S","0062_01","False","Greeves"
"59","Mars","True","TRAPPIST-1e",15,"False",0,0,0,0,0,"F",14,"S","0064_01","True",NA
"60","Mars","True","TRAPPIST-1e",33,"False",0,0,11.7499999999966,0,0,"E",3,"S","0064_02","True","Keen"
"61","Earth","False","TRAPPIST-1e",62,"False",1,153,197,0,460,"G",6,"P","0066_01","False","Pecketton"
"62","Earth","True","PSO J318.5-22",0,"False",0,0,0,0,0,"G",10,"S","0067_01","True","Leeves"
"63","Earth","False","TRAPPIST-1e",18,"False",1,258,446,0,0,"G",10,"S","0067_02","True","Leeves"
"64","Earth","False","55 Cancri e",21,"False",1946,37,0,0,24,"F",15,"S","0067_03","False","Leeves"
"65","Mars","False","TRAPPIST-1e",29.4374511445272,"False",793,0,2,253,0,"E",4,"S","0068_01","False","Binie"
"66","Earth","False","TRAPPIST-1e",42,"False",887,0,9,6,0,"F",16,"S","0069_01","True",NA
"67","Earth","False","TRAPPIST-1e",19,"False",190,0,5,1,726,"F",13,"P","0070_01","False","Brighttt"
"68","Earth","False","TRAPPIST-1e",17,"False",16,2165,0,0,52,"F",14,"P","0071_01","False","Dillines"
"69","Earth","False","TRAPPIST-1e",14,"False",0,1,0,0,1063,"F",17,"S","0072_01","False","Brantuarez"
"70","Mars","False","PSO J318.5-22",37,"False",46,83,738,0,12,"D",3,"P","0073_01","False","Make"
"71","Europa","False","TRAPPIST-1e",42,"False",1,8397,0,0,506,"C",3,"S","0074_01","True","Mostedry"
"72","Mars","False","TRAPPIST-1e",27,"False",147,0,1018,0,0,"F",18,"S","0076_01","True","Dal"
"73","Mars","False","TRAPPIST-1e",28,"False",14,0,1295,0,0,"F",15,"P","0077_01","True","Blité"
"74","Europa","False","TRAPPIST-1e",38,"False",0,5840,0,321,9654,"C",4,"S","0078_01","False","Pokerheed"
"75","Earth","True","TRAPPIST-1e",13,"False",0,0,0,0,0,"G",13,"S","0081_01","False","Vinozarks"
"76","Mars","False","TRAPPIST-1e",42,"False",7406,0,0,0,0,"F",16,"P","0082_01","False","Datte"
"77","Mars","True","TRAPPIST-1e",2,"False",0,0,0,0,0,"F",16,"P","0082_02","True","Datte"
"78","Mars","False","TRAPPIST-1e",8,"False",0,0,0,0,0,"F",16,"P","0082_03","True",NA
"79","Earth","False","TRAPPIST-1e",24,"False",688,0,0,0,17,"G",14,"S","0084_01","True","Coopezmaney"
"80","Europa","True","TRAPPIST-1e",40,"False",0,0,0,0,0,"C",5,"S","0085_01","True","Ellcefulve"
"81","Earth","False","TRAPPIST-1e",43,"False",211,0,0,638,513,"F",17,"P","0086_01","False","Kinson"
"82","Mars","True","PSO J318.5-22",45,"False",0,0,0,0,0,"E",5,"S","0088_01","True","Sacre"
"83","Earth","True","TRAPPIST-1e",35,"False",0,0,0,0,0,"G",15,"S","0090_01","True","Santry"
"84","Earth","True","TRAPPIST-1e",26,"False",2.17550937673368,0,0,0,0,"G",16,"S","0091_01","True","Yorkland"
"85","Earth","False","TRAPPIST-1e",27,"False",1,697,31,188,0,"F",20,"S","0091_02","False","Yorkland"
"86","Earth","False","TRAPPIST-1e",19,"False",0,0,670,1,34,"G",9,"P","0092_01","False","Dunnisey"
"87","Earth","True","TRAPPIST-1e",0,"False",0,0,-3.83266751668998e-12,0,0,"G",9,"P","0092_02","True","Hewson"
"88","Earth","True","TRAPPIST-1e",3,"False",0,0,0,0,0,"G",9,"P","0092_03","True","Hewson"
"89","Europa","False","TRAPPIST-1e",54,"False",0,1208,0,3,637,"A",2,"S","0097_01","False","Fictful"
"90","Earth","False","TRAPPIST-1e",26,"False",0,856,5,32,0,"G",11,"P","0098_01","False","Carezquez"
"91","Earth","False","TRAPPIST-1e",26,"False",0,2811,957,0,87,"G",11,"P","0098_02","True","Carezquez"
"92","Earth","False","PSO J318.5-22",23,"False",311,427,526,37,0,"F",19,"P","0099_01","False","Leetersoney"
"93","Earth","True","TRAPPIST-1e",2,"False",0,0,0,0,0,"G",12,"P","0099_02","True","Connelson"
"94","Mars","True","TRAPPIST-1e",31,"False",0,0,0,0,0,"F",838.555682186762,"P","0101_01","True","Trad"
"95","Earth","False","TRAPPIST-1e",18,"False",0,0,0,830,91,"F",23,"S","0102_01","False","Holson"
"96","Earth","False","TRAPPIST-1e",24,"False",0,851.657634621227,0,0,17,"F",24,"S","0103_01","True","Mclainez"
"97","Earth","True","55 Cancri e",9,"False",0,0,0,0,0,"G",18,"S","0103_02","True","Mclainez"
"98","Earth","True","TRAPPIST-1e",6,"False",0,0,0,0,0,"G",18,"S","0103_03","False","Mclainez"
"99","Earth","False","TRAPPIST-1e",27,"False",0,0,570,2,131,"F",21,"P","0105_01","False","Cleachrand"
"100","Mars","False","TRAPPIST-1e",21,"False",1743,5,17,0,0,"D",2,"S","0107_01","False","Hart"
"101","Earth","True","TRAPPIST-1e",23,"False",0,0,0,0,0,"G",19,"S","0108_01","False","Handertiz"
"102","Earth","False","TRAPPIST-1e",31,"False",562,0,326,0,0,"G",19,"S","0108_02","False",NA
"103","Earth","False","TRAPPIST-1e",0,"False",0,0,0,0,0,"G",19,"S","0108_03","True","Handertiz"
"104","Europa","False","TRAPPIST-1e",32,"False",0,410,6,3929,764,"C",159.16887530323,"S","0110_01","False","Aloubtled"
"105","Europa","False","TRAPPIST-1e",40,"False",0,331,0,0,1687,"B",5,"P","0110_02","False","Bootious"
"106","Europa","False","TRAPPIST-1e",42,"False",2209,11418,0,1868,445,"B",5,"P","0110_03","True","Aloubtled"
"107","Europa","True","TRAPPIST-1e",28,"False",0,0,0,0,0,"B",5,"P","0110_04","True","Aloubtled"
"108","Europa","True","TRAPPIST-1e",29,"False",0,0,0,0,0,"E",6,"S","0111_01","True","Supred"
"109","Europa","False","55 Cancri e",48,"True",0,2537,87,17,13,"B",1,"S","0112_01","True","Cowtale"
"110","Earth","False","TRAPPIST-1e",64,"False",0,0,804,0,0,"F",23,"P","0113_01","True","Carvis"
"111","Earth","False","TRAPPIST-1e",27,"False",82,157,429,238,1,"G",20,"S","0114_01","False","Beckerson"
"112","Mars","False","TRAPPIST-1e",26,"False",0,0,0,0,156.451072417598,"F",24,"P","0115_01","True","Pead"
"113","Europa","False","TRAPPIST-1e",33,"False",1,2223,0,12,404,"D",4,"P","0116_01","True","Suptive"
"114","Europa","False","TRAPPIST-1e",39,"False",0,2344,0,65,6898,"A",0,"P","0119_01","False","Coning"
"115","Europa","True","TRAPPIST-1e",13,"False",0,0,0,0,0,"A",0,"P","0119_02","True","Coning"
"116","Mars","True","TRAPPIST-1e",24,"False",0,0,0,0,-5.70025804336183e-12,"F",25,"P","0120_01","True","Sacre"
"117","Earth","False","TRAPPIST-1e",29,"False",0,0,0,699,74,"G",21,"S","0122_01","False","Hayder"
"118","Earth","False","TRAPPIST-1e",18,"False",55,597,49,0,1,"F",27,"P","0123_01","False","Fielson"
"119","Mars","True","TRAPPIST-1e",67,"False",0,0,0,0,0,"F",27,"S","0126_01","True","Mish"
"120","Mars","False","TRAPPIST-1e",35,"False",701,0,296,0,25,"E",7,"S","0127_01","False","Mesty"
